id	domain	question	A	B	C	D	answer	explanation	simpleExplanation	whyCorrect	whyIncorrect	fullExplanation
131	Cryptography, PKI and data protection	Gary has implemented record-level encryption for his database. How many keys will he use in a typical implementation of record-level encryption?	One key per record	One key per column	One key per table	One key per database	A	Record-level encryption typically uses a separate key per record.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to One key per record. In simple words, Record-level encryption typically uses a separate key per record.	Record-level encryption typically uses a separate key per record.	"{""B"": ""This option describes One key per column. It is not the best answer here because the scenario is specifically pointing to One key per record. Column/table/database keys describe broader scopes; record-level encryption typically protects each individual record with its own key."", ""C"": ""This option describes One key per table. It is not the best answer here because the scenario is specifically pointing to One key per record. Column/table/database keys describe broader scopes; record-level encryption typically protects each individual record with its own key."", ""D"": ""This option describes One key per database. It is not the best answer here because the scenario is specifically pointing to One key per record. Column/table/database keys describe broader scopes; record-level encryption typically protects each individual record with its own key.""}"	"The correct answer is A. One key per record.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to One key per record. In simple words, Record-level encryption typically uses a separate key per record.

Why this answer is correct:
Record-level encryption typically uses a separate key per record.

Why the other options are incorrect:
B. One key per column: This option describes One key per column. It is not the best answer here because the scenario is specifically pointing to One key per record. Column/table/database keys describe broader scopes; record-level encryption typically protects each individual record with its own key.
C. One key per table: This option describes One key per table. It is not the best answer here because the scenario is specifically pointing to One key per record. Column/table/database keys describe broader scopes; record-level encryption typically protects each individual record with its own key.
D. One key per database: This option describes One key per database. It is not the best answer here because the scenario is specifically pointing to One key per record. Column/table/database keys describe broader scopes; record-level encryption typically protects each individual record with its own key."
132	Zero trust, IAM and AAA	Justin's laptop is part of his organization's zero-trust architecture. What term is used to refer to a device like a laptop, desktop, or mobile device in a zero-trust design?	A subject	A policy engine	A service provider	A policy application point	A	In zero-trust terminology, a subject can be a user, service, or device requesting access.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to A subject. In simple words, In zero-trust terminology, a subject can be a user, service, or device requesting access.	In zero-trust terminology, a subject can be a user, service, or device requesting access.	"{""B"": ""In zero trust, the policy engine makes access decisions using policy and security/context data. It is not the best answer here because the scenario is specifically pointing to A subject. Policy engine/point are control components and service provider is a service role; the device requesting access is a subject."", ""C"": ""This option describes A service provider. It is not the best answer here because the scenario is specifically pointing to A subject. Policy engine/point are control components and service provider is a service role; the device requesting access is a subject."", ""D"": ""This option describes A policy application point. It is not the best answer here because the scenario is specifically pointing to A subject. Policy engine/point are control components and service provider is a service role; the device requesting access is a subject.""}"	"The correct answer is A. A subject.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to A subject. In simple words, In zero-trust terminology, a subject can be a user, service, or device requesting access.

Why this answer is correct:
In zero-trust terminology, a subject can be a user, service, or device requesting access.

Why the other options are incorrect:
B. A policy engine: In zero trust, the policy engine makes access decisions using policy and security/context data. It is not the best answer here because the scenario is specifically pointing to A subject. Policy engine/point are control components and service provider is a service role; the device requesting access is a subject.
C. A service provider: This option describes A service provider. It is not the best answer here because the scenario is specifically pointing to A subject. Policy engine/point are control components and service provider is a service role; the device requesting access is a subject.
D. A policy application point: This option describes A policy application point. It is not the best answer here because the scenario is specifically pointing to A subject. Policy engine/point are control components and service provider is a service role; the device requesting access is a subject."
133	Zero trust, IAM and AAA	Susan's organization has deployed a zero-trust architecture. Which of the following zero-trust control plane components uses rules to determine who can access a service based on the security status of their system, threat data, and similar information?	Adaptive authorization	Threat scope reduction	Policy-driven access control	Secured zones	C	Policy-driven access control uses rules and context such as device security and threat data to decide access.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Policy-driven access control. In simple words, Policy-driven access control uses rules and context such as device security and threat data to decide access.	Policy-driven access control uses rules and context such as device security and threat data to decide access.	"{""A"": ""This option describes Adaptive authorization. It is not the best answer here because the scenario is specifically pointing to Policy-driven access control. Adaptive authorization is a behaviour, threat scope reduction is an outcome, and secured zones are network areas; policy-driven access control is the rules-based access decision mechanism."", ""B"": ""This option describes Threat scope reduction. It is not the best answer here because the scenario is specifically pointing to Policy-driven access control. Adaptive authorization is a behaviour, threat scope reduction is an outcome, and secured zones are network areas; policy-driven access control is the rules-based access decision mechanism."", ""D"": ""This option describes Secured zones. It is not the best answer here because the scenario is specifically pointing to Policy-driven access control. Adaptive authorization is a behaviour, threat scope reduction is an outcome, and secured zones are network areas; policy-driven access control is the rules-based access decision mechanism.""}"	"The correct answer is C. Policy-driven access control.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Policy-driven access control. In simple words, Policy-driven access control uses rules and context such as device security and threat data to decide access.

Why this answer is correct:
Policy-driven access control uses rules and context such as device security and threat data to decide access.

Why the other options are incorrect:
A. Adaptive authorization: This option describes Adaptive authorization. It is not the best answer here because the scenario is specifically pointing to Policy-driven access control. Adaptive authorization is a behaviour, threat scope reduction is an outcome, and secured zones are network areas; policy-driven access control is the rules-based access decision mechanism.
B. Threat scope reduction: This option describes Threat scope reduction. It is not the best answer here because the scenario is specifically pointing to Policy-driven access control. Adaptive authorization is a behaviour, threat scope reduction is an outcome, and secured zones are network areas; policy-driven access control is the rules-based access decision mechanism.
D. Secured zones: This option describes Secured zones. It is not the best answer here because the scenario is specifically pointing to Policy-driven access control. Adaptive authorization is a behaviour, threat scope reduction is an outcome, and secured zones are network areas; policy-driven access control is the rules-based access decision mechanism."
134	Cryptography, PKI and data protection	Scott wants to implement OCSP as part of an application he is creating. What will he implement?	A corrective control security process	Certificate status checking	Transport encryption	Full-disk encryption	B	OCSP provides certificate revocation/status checking.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Certificate status checking. In simple words, OCSP provides certificate revocation/status checking.	OCSP provides certificate revocation/status checking.	"{""A"": ""A corrective control helps restore normal operation or fix damage after an event. It is not the best answer here because the scenario is specifically pointing to Certificate status checking. It is not transport encryption, corrective control, or disk encryption; OCSP checks whether a certificate is still valid/not revoked."", ""C"": ""This option describes Transport encryption. It is not the best answer here because the scenario is specifically pointing to Certificate status checking. It is not transport encryption, corrective control, or disk encryption; OCSP checks whether a certificate is still valid/not revoked."", ""D"": ""Full-disk encryption protects an entire disk when the device is off or locked. It is mainly device-loss protection, not granular per-file control. It is not the best answer here because the scenario is specifically pointing to Certificate status checking. It is not transport encryption, corrective control, or disk encryption; OCSP checks whether a certificate is still valid/not revoked.""}"	"The correct answer is B. Certificate status checking.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Certificate status checking. In simple words, OCSP provides certificate revocation/status checking.

Why this answer is correct:
OCSP provides certificate revocation/status checking.

Why the other options are incorrect:
A. A corrective control security process: A corrective control helps restore normal operation or fix damage after an event. It is not the best answer here because the scenario is specifically pointing to Certificate status checking. It is not transport encryption, corrective control, or disk encryption; OCSP checks whether a certificate is still valid/not revoked.
C. Transport encryption: This option describes Transport encryption. It is not the best answer here because the scenario is specifically pointing to Certificate status checking. It is not transport encryption, corrective control, or disk encryption; OCSP checks whether a certificate is still valid/not revoked.
D. Full-disk encryption: Full-disk encryption protects an entire disk when the device is off or locked. It is mainly device-loss protection, not granular per-file control. It is not the best answer here because the scenario is specifically pointing to Certificate status checking. It is not transport encryption, corrective control, or disk encryption; OCSP checks whether a certificate is still valid/not revoked."
135	Cryptography, PKI and data protection	Which of the following is not a common reason to implement key escrow?	Regulatory compliance	Providing access to encrypted data for administrative reasons	Providing access to encrypted data in emergencies	Preventing the need for key rotation after a user leaves	D	Key escrow does not remove the need to rotate keys after users leave or keys become exposed.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Preventing the need for key rotation after a user leaves. In simple words, Key escrow does not remove the need to rotate keys after users leave or keys become exposed.	Key escrow does not remove the need to rotate keys after users leave or keys become exposed.	"{""A"": ""This option describes Regulatory compliance. It is not the best answer here because the scenario is specifically pointing to Preventing the need for key rotation after a user leaves. Compliance, admin access, and emergency recovery are common escrow reasons; escrow does not remove the need to rotate keys when appropriate."", ""B"": ""This option describes Providing access to encrypted data for administrative reasons. It is not the best answer here because the scenario is specifically pointing to Preventing the need for key rotation after a user leaves. Compliance, admin access, and emergency recovery are common escrow reasons; escrow does not remove the need to rotate keys when appropriate."", ""C"": ""This option describes Providing access to encrypted data in emergencies. It is not the best answer here because the scenario is specifically pointing to Preventing the need for key rotation after a user leaves. Compliance, admin access, and emergency recovery are common escrow reasons; escrow does not remove the need to rotate keys when appropriate.""}"	"The correct answer is D. Preventing the need for key rotation after a user leaves.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Preventing the need for key rotation after a user leaves. In simple words, Key escrow does not remove the need to rotate keys after users leave or keys become exposed.

Why this answer is correct:
Key escrow does not remove the need to rotate keys after users leave or keys become exposed.

Why the other options are incorrect:
A. Regulatory compliance: This option describes Regulatory compliance. It is not the best answer here because the scenario is specifically pointing to Preventing the need for key rotation after a user leaves. Compliance, admin access, and emergency recovery are common escrow reasons; escrow does not remove the need to rotate keys when appropriate.
B. Providing access to encrypted data for administrative reasons: This option describes Providing access to encrypted data for administrative reasons. It is not the best answer here because the scenario is specifically pointing to Preventing the need for key rotation after a user leaves. Compliance, admin access, and emergency recovery are common escrow reasons; escrow does not remove the need to rotate keys when appropriate.
C. Providing access to encrypted data in emergencies: This option describes Providing access to encrypted data in emergencies. It is not the best answer here because the scenario is specifically pointing to Preventing the need for key rotation after a user leaves. Compliance, admin access, and emergency recovery are common escrow reasons; escrow does not remove the need to rotate keys when appropriate."
136	Cryptography, PKI and data protection	Yariv discovers that he has exposed his private key to other users in his organization by sending it via email instead of his public key. What should he do?	Ask the other users to delete any copies of his private key that they may have.	Immediately add his key to a CRL and reissue the key.	Create a new keypair and notify others that he has replaced his keypair.	Continue to operate as normal as long as the private key was not used maliciously.	C	If a private key is exposed, the safe response is to generate a new keypair and notify affected parties.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Create a new keypair and notify others that he has replaced his keypair.. In simple words, If a private key is exposed, the safe response is to generate a new keypair and notify affected parties.	If a private key is exposed, the safe response is to generate a new keypair and notify affected parties.	"{""A"": ""A private key must be kept secret. It is used to decrypt data sent to the key owner or to create digital signatures. It is not the best answer here because the scenario is specifically pointing to Create a new keypair and notify others that he has replaced his keypair.. Asking deletion or continuing is unsafe, and CRLs apply to certificates rather than plain keypairs; he should replace the exposed keypair and notify users."", ""B"": ""A certificate revocation list is used to list certificates that should no longer be trusted. It is not used to cover subdomains. It is not the best answer here because the scenario is specifically pointing to Create a new keypair and notify others that he has replaced his keypair.. Asking deletion or continuing is unsafe, and CRLs apply to certificates rather than plain keypairs; he should replace the exposed keypair and notify users."", ""D"": ""A private key must be kept secret. It is used to decrypt data sent to the key owner or to create digital signatures. It is not the best answer here because the scenario is specifically pointing to Create a new keypair and notify others that he has replaced his keypair.. Asking deletion or continuing is unsafe, and CRLs apply to certificates rather than plain keypairs; he should replace the exposed keypair and notify users.""}"	"The correct answer is C. Create a new keypair and notify others that he has replaced his keypair..

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Create a new keypair and notify others that he has replaced his keypair.. In simple words, If a private key is exposed, the safe response is to generate a new keypair and notify affected parties.

Why this answer is correct:
If a private key is exposed, the safe response is to generate a new keypair and notify affected parties.

Why the other options are incorrect:
A. Ask the other users to delete any copies of his private key that they may have.: A private key must be kept secret. It is used to decrypt data sent to the key owner or to create digital signatures. It is not the best answer here because the scenario is specifically pointing to Create a new keypair and notify others that he has replaced his keypair.. Asking deletion or continuing is unsafe, and CRLs apply to certificates rather than plain keypairs; he should replace the exposed keypair and notify users.
B. Immediately add his key to a CRL and reissue the key.: A certificate revocation list is used to list certificates that should no longer be trusted. It is not used to cover subdomains. It is not the best answer here because the scenario is specifically pointing to Create a new keypair and notify others that he has replaced his keypair.. Asking deletion or continuing is unsafe, and CRLs apply to certificates rather than plain keypairs; he should replace the exposed keypair and notify users.
D. Continue to operate as normal as long as the private key was not used maliciously.: A private key must be kept secret. It is used to decrypt data sent to the key owner or to create digital signatures. It is not the best answer here because the scenario is specifically pointing to Create a new keypair and notify others that he has replaced his keypair.. Asking deletion or continuing is unsafe, and CRLs apply to certificates rather than plain keypairs; he should replace the exposed keypair and notify users."
137	Cryptography, PKI and data protection	What happens if a mistake is made and an incorrect transaction is entered into the open public ledger in a blockchain?	The transaction is reversed once it is discovered, and the original transaction is removed from the record.	A new transaction must be processed, and both transactions remain in the record.	The original transaction is updated and becomes the new record.	An error block must be mined and labeled with the transaction number and error details.	B	Blockchain records are immutable, so an error is corrected by adding a new transaction while the original remains.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to A new transaction must be processed, and both transactions remain in the record.. In simple words, Blockchain records are immutable, so an error is corrected by adding a new transaction while the original remains.	Blockchain records are immutable, so an error is corrected by adding a new transaction while the original remains.	"{""A"": ""This option describes The transaction is reversed once it is discovered, and the original transaction is removed from the record. It is not the best answer here because the scenario is specifically pointing to A new transaction must be processed, and both transactions remain in the record.. The old blockchain record is not removed or edited, and an 'error block' is not the standard mechanism; a correcting transaction is added while both remain visible."", ""C"": ""This option describes The original transaction is updated and becomes the new record. It is not the best answer here because the scenario is specifically pointing to A new transaction must be processed, and both transactions remain in the record.. The old blockchain record is not removed or edited, and an 'error block' is not the standard mechanism; a correcting transaction is added while both remain visible."", ""D"": ""This option describes An error block must be mined and labeled with the transaction number and error details. It is not the best answer here because the scenario is specifically pointing to A new transaction must be processed, and both transactions remain in the record.. The old blockchain record is not removed or edited, and an 'error block' is not the standard mechanism; a correcting transaction is added while both remain visible.""}"	"The correct answer is B. A new transaction must be processed, and both transactions remain in the record..

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to A new transaction must be processed, and both transactions remain in the record.. In simple words, Blockchain records are immutable, so an error is corrected by adding a new transaction while the original remains.

Why this answer is correct:
Blockchain records are immutable, so an error is corrected by adding a new transaction while the original remains.

Why the other options are incorrect:
A. The transaction is reversed once it is discovered, and the original transaction is removed from the record.: This option describes The transaction is reversed once it is discovered, and the original transaction is removed from the record. It is not the best answer here because the scenario is specifically pointing to A new transaction must be processed, and both transactions remain in the record.. The old blockchain record is not removed or edited, and an 'error block' is not the standard mechanism; a correcting transaction is added while both remain visible.
C. The original transaction is updated and becomes the new record.: This option describes The original transaction is updated and becomes the new record. It is not the best answer here because the scenario is specifically pointing to A new transaction must be processed, and both transactions remain in the record.. The old blockchain record is not removed or edited, and an 'error block' is not the standard mechanism; a correcting transaction is added while both remain visible.
D. An error block must be mined and labeled with the transaction number and error details.: This option describes An error block must be mined and labeled with the transaction number and error details. It is not the best answer here because the scenario is specifically pointing to A new transaction must be processed, and both transactions remain in the record.. The old blockchain record is not removed or edited, and an 'error block' is not the standard mechanism; a correcting transaction is added while both remain visible."
138	Security+ mixed practice	Which of the following activities will not typically result in a need to update policies and procedures?	Deploying a new application	Installing patches for an existing application	Conducting a lessons learned exercise after an incident	Changes in regulations	B	Routine patching of an existing application does not usually require policy and procedure updates.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Installing patches for an existing application. In simple words, Routine patching of an existing application does not usually require policy and procedure updates.	Routine patching of an existing application does not usually require policy and procedure updates.	"{""A"": ""This option describes Deploying a new application. It is not the best answer here because the scenario is specifically pointing to Installing patches for an existing application. New apps, incident lessons learned, and regulation changes commonly affect policies/procedures; routine patching usually does not."", ""C"": ""This option describes Conducting a lessons learned exercise after an incident. It is not the best answer here because the scenario is specifically pointing to Installing patches for an existing application. New apps, incident lessons learned, and regulation changes commonly affect policies/procedures; routine patching usually does not."", ""D"": ""This option describes Changes in regulations. It is not the best answer here because the scenario is specifically pointing to Installing patches for an existing application. New apps, incident lessons learned, and regulation changes commonly affect policies/procedures; routine patching usually does not.""}"	"The correct answer is B. Installing patches for an existing application.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Installing patches for an existing application. In simple words, Routine patching of an existing application does not usually require policy and procedure updates.

Why this answer is correct:
Routine patching of an existing application does not usually require policy and procedure updates.

Why the other options are incorrect:
A. Deploying a new application: This option describes Deploying a new application. It is not the best answer here because the scenario is specifically pointing to Installing patches for an existing application. New apps, incident lessons learned, and regulation changes commonly affect policies/procedures; routine patching usually does not.
C. Conducting a lessons learned exercise after an incident: This option describes Conducting a lessons learned exercise after an incident. It is not the best answer here because the scenario is specifically pointing to Installing patches for an existing application. New apps, incident lessons learned, and regulation changes commonly affect policies/procedures; routine patching usually does not.
D. Changes in regulations: This option describes Changes in regulations. It is not the best answer here because the scenario is specifically pointing to Installing patches for an existing application. New apps, incident lessons learned, and regulation changes commonly affect policies/procedures; routine patching usually does not."
139	Physical security and controls	Hrant's organization wants to ensure that staff members use both something they know and something they have as part of their physical access control scheme. Which of the following solutions meets that requirement?	Security guards and access badges	Keys and access control vestibules	Access badges and PINs	Security guards and access control vestibules	C	A badge is something you have, and a PIN is something you know.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Access badges and PINs. In simple words, A badge is something you have, and a PIN is something you know.	A badge is something you have, and a PIN is something you know.	"{""A"": ""This option describes Security guards and access badges. It is not the best answer here because the scenario is specifically pointing to Access badges and PINs. Guards and vestibules are not 'something you know', keys/badges are only possession factors; badge plus PIN gives possession plus knowledge."", ""B"": ""An access control vestibule, often called a mantrap, uses two controlled doors to reduce tailgating and control entry. It is not the best answer here because the scenario is specifically pointing to Access badges and PINs. Guards and vestibules are not 'something you know', keys/badges are only possession factors; badge plus PIN gives possession plus knowledge."", ""D"": ""An access control vestibule, often called a mantrap, uses two controlled doors to reduce tailgating and control entry. It is not the best answer here because the scenario is specifically pointing to Access badges and PINs. Guards and vestibules are not 'something you know', keys/badges are only possession factors; badge plus PIN gives possession plus knowledge.""}"	"The correct answer is C. Access badges and PINs.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Access badges and PINs. In simple words, A badge is something you have, and a PIN is something you know.

Why this answer is correct:
A badge is something you have, and a PIN is something you know.

Why the other options are incorrect:
A. Security guards and access badges: This option describes Security guards and access badges. It is not the best answer here because the scenario is specifically pointing to Access badges and PINs. Guards and vestibules are not 'something you know', keys/badges are only possession factors; badge plus PIN gives possession plus knowledge.
B. Keys and access control vestibules: An access control vestibule, often called a mantrap, uses two controlled doors to reduce tailgating and control entry. It is not the best answer here because the scenario is specifically pointing to Access badges and PINs. Guards and vestibules are not 'something you know', keys/badges are only possession factors; badge plus PIN gives possession plus knowledge.
D. Security guards and access control vestibules: An access control vestibule, often called a mantrap, uses two controlled doors to reduce tailgating and control entry. It is not the best answer here because the scenario is specifically pointing to Access badges and PINs. Guards and vestibules are not 'something you know', keys/badges are only possession factors; badge plus PIN gives possession plus knowledge."
140	Physical security and controls	Julia wants to detect if an intruder enters a space using a sensor system. Which of the following is not typically used to detect intruders?	Infrared sensors	Pressure sensors	Microwave sensors	Ultrasonic sensors	B	Pressure sensors are less commonly used for general space-intrusion detection than infrared, microwave, or ultrasonic motion sensors.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Pressure sensors. In simple words, Pressure sensors are less commonly used for general space-intrusion detection than infrared, microwave, or ultrasonic motion sensors.	Pressure sensors are less commonly used for general space-intrusion detection than infrared, microwave, or ultrasonic motion sensors.	"{""A"": ""Infrared sensors commonly detect heat or motion and are often used for motion detection in rooms. It is not the best answer here because the scenario is specifically pointing to Pressure sensors. Infrared, microwave, and ultrasonic are common motion/intrusion sensors; pressure sensors are less typical for general intruder detection in a space."", ""C"": ""Microwave sensors detect motion and can penetrate some materials, but may be more sensitive or problematic in some environments. It is not the best answer here because the scenario is specifically pointing to Pressure sensors. Infrared, microwave, and ultrasonic are common motion/intrusion sensors; pressure sensors are less typical for general intruder detection in a space."", ""D"": ""Ultrasonic sensors use sound waves to detect movement or presence. It is not the best answer here because the scenario is specifically pointing to Pressure sensors. Infrared, microwave, and ultrasonic are common motion/intrusion sensors; pressure sensors are less typical for general intruder detection in a space.""}"	"The correct answer is B. Pressure sensors.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Pressure sensors. In simple words, Pressure sensors are less commonly used for general space-intrusion detection than infrared, microwave, or ultrasonic motion sensors.

Why this answer is correct:
Pressure sensors are less commonly used for general space-intrusion detection than infrared, microwave, or ultrasonic motion sensors.

Why the other options are incorrect:
A. Infrared sensors: Infrared sensors commonly detect heat or motion and are often used for motion detection in rooms. It is not the best answer here because the scenario is specifically pointing to Pressure sensors. Infrared, microwave, and ultrasonic are common motion/intrusion sensors; pressure sensors are less typical for general intruder detection in a space.
C. Microwave sensors: Microwave sensors detect motion and can penetrate some materials, but may be more sensitive or problematic in some environments. It is not the best answer here because the scenario is specifically pointing to Pressure sensors. Infrared, microwave, and ultrasonic are common motion/intrusion sensors; pressure sensors are less typical for general intruder detection in a space.
D. Ultrasonic sensors: Ultrasonic sensors use sound waves to detect movement or presence. It is not the best answer here because the scenario is specifically pointing to Pressure sensors. Infrared, microwave, and ultrasonic are common motion/intrusion sensors; pressure sensors are less typical for general intruder detection in a space."
141	Cryptography, PKI and data protection	Which of the following is not true for a secure cryptographic hash system?	Hashes are a one-way function.	Hashes generate a fixed length output.	Hashes may generate the same output for multiple inputs.	Hashes are commonly used to verify the integrity of files.	C	Secure hashes are designed to make collisions impractical, so saying they may generate the same output for multiple inputs is not true in the security sense tested here.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Hashes may generate the same output for multiple inputs.. In simple words, Secure hashes are designed to make collisions impractical, so saying they may generate the same output for multiple inputs is not true in the security sense tested here.	Secure hashes are designed to make collisions impractical, so saying they may generate the same output for multiple inputs is not true in the security sense tested here.	"{""A"": ""This option describes Hashes are a one-way function. It is not the best answer here because the scenario is specifically pointing to Hashes may generate the same output for multiple inputs.. One-way operation, fixed-length output, and integrity checking are true of hashes; secure hashes are expected to make collisions infeasible, so the collision statement is the tested false one."", ""B"": ""This option describes Hashes generate a fixed length output. It is not the best answer here because the scenario is specifically pointing to Hashes may generate the same output for multiple inputs.. One-way operation, fixed-length output, and integrity checking are true of hashes; secure hashes are expected to make collisions infeasible, so the collision statement is the tested false one."", ""D"": ""Integrity means data remains accurate, complete, and unauthorized changes are prevented or detectable. It is not the best answer here because the scenario is specifically pointing to Hashes may generate the same output for multiple inputs.. One-way operation, fixed-length output, and integrity checking are true of hashes; secure hashes are expected to make collisions infeasible, so the collision statement is the tested false one.""}"	"The correct answer is C. Hashes may generate the same output for multiple inputs..

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to Hashes may generate the same output for multiple inputs.. In simple words, Secure hashes are designed to make collisions impractical, so saying they may generate the same output for multiple inputs is not true in the security sense tested here.

Why this answer is correct:
Secure hashes are designed to make collisions impractical, so saying they may generate the same output for multiple inputs is not true in the security sense tested here.

Why the other options are incorrect:
A. Hashes are a one-way function.: This option describes Hashes are a one-way function. It is not the best answer here because the scenario is specifically pointing to Hashes may generate the same output for multiple inputs.. One-way operation, fixed-length output, and integrity checking are true of hashes; secure hashes are expected to make collisions infeasible, so the collision statement is the tested false one.
B. Hashes generate a fixed length output.: This option describes Hashes generate a fixed length output. It is not the best answer here because the scenario is specifically pointing to Hashes may generate the same output for multiple inputs.. One-way operation, fixed-length output, and integrity checking are true of hashes; secure hashes are expected to make collisions infeasible, so the collision statement is the tested false one.
D. Hashes are commonly used to verify the integrity of files.: Integrity means data remains accurate, complete, and unauthorized changes are prevented or detectable. It is not the best answer here because the scenario is specifically pointing to Hashes may generate the same output for multiple inputs.. One-way operation, fixed-length output, and integrity checking are true of hashes; secure hashes are expected to make collisions infeasible, so the collision statement is the tested false one."
142	Physical security and controls	Casey wants to prevent tailgating attacks on her datacenter. What type of physical security solution should she put in place?	Video surveillance	Bollards	An access control vestibule	Access badges	C	An access control vestibule helps prevent tailgating by allowing only one person through controlled doors at a time.	The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to An access control vestibule. In simple words, An access control vestibule helps prevent tailgating by allowing only one person through controlled doors at a time.	An access control vestibule helps prevent tailgating by allowing only one person through controlled doors at a time.	"{""A"": ""This option describes Video surveillance. It is not the best answer here because the scenario is specifically pointing to An access control vestibule. Cameras record, bollards stop vehicles, and badges alone do not stop following; a vestibule/mantrap is designed to prevent tailgating."", ""B"": ""Bollards are strong posts designed to stop or slow vehicles and protect buildings or equipment from impact. It is not the best answer here because the scenario is specifically pointing to An access control vestibule. Cameras record, bollards stop vehicles, and badges alone do not stop following; a vestibule/mantrap is designed to prevent tailgating."", ""D"": ""This option describes Access badges. It is not the best answer here because the scenario is specifically pointing to An access control vestibule. Cameras record, bollards stop vehicles, and badges alone do not stop following; a vestibule/mantrap is designed to prevent tailgating.""}"	"The correct answer is C. An access control vestibule.

In Simple Words: What is this asking?
The question is asking you to recognise the Security+ concept that best fits the situation. The key clue points to An access control vestibule. In simple words, An access control vestibule helps prevent tailgating by allowing only one person through controlled doors at a time.

Why this answer is correct:
An access control vestibule helps prevent tailgating by allowing only one person through controlled doors at a time.

Why the other options are incorrect:
A. Video surveillance: This option describes Video surveillance. It is not the best answer here because the scenario is specifically pointing to An access control vestibule. Cameras record, bollards stop vehicles, and badges alone do not stop following; a vestibule/mantrap is designed to prevent tailgating.
B. Bollards: Bollards are strong posts designed to stop or slow vehicles and protect buildings or equipment from impact. It is not the best answer here because the scenario is specifically pointing to An access control vestibule. Cameras record, bollards stop vehicles, and badges alone do not stop following; a vestibule/mantrap is designed to prevent tailgating.
D. Access badges: This option describes Access badges. It is not the best answer here because the scenario is specifically pointing to An access control vestibule. Cameras record, bollards stop vehicles, and badges alone do not stop following; a vestibule/mantrap is designed to prevent tailgating."
